nome_fantasia,slug,inicio_atividades,porte_empresa,nome_cidade,sigla_uf,populacao_cidade,latitude_cidade,longitude_cidade,dist_1,dist_2,dist_3,dist_4
CONDOMINIO COMERCIAL LARGO VAGALUME,condominio-comercial-largo-vagalume,16/03/2010,5,Porto Seguro,BA,152529,-16.4435,-39.0643,424KM,465KM,391KM,260KM
CONDOMINIO COSTA DO PACIFICO,condominio-costa-do-pacifico,26/10/1992,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO COLINA VERDE,condominio-colina-verde,01/03/1993,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO COLINAS DO IMBUI,condominio-colinas-do-imbui,28/07/2005,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
COND. EDI. RESIDENCIAL ROSA DOS VENTOS,cond-edi-residencial-rosa-dos-ventos,12/05/2009,5,Lauro de Freitas,BA,204669,-12.8978,-38.321,22KM,99KM,21KM,348KM
CONDOMINIO DE CONSTRUCAO RESIDENCIAL BRISA DO PARQUE,condominio-de-construcao-residencial-brisa-do-parque,04/08/2009,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO DEAUVILLE,condominio-deauville,29/10/1990,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO DO EDIFICIO ALTO DO POLITEAMA,condominio-do-edificio-alto-do-politeama,26/10/2007,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO ED PRAIA DE GUAIBIM,condominio-ed-praia-de-guaibim,06/03/1997,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO DO EDIFICIO PORTO SEGURO FORTE HOTEL,condominio-do-edificio-porto-seguro-forte-hotel,07/05/1993,5,Porto Seguro,BA,152529,-16.4435,-39.0643,424KM,465KM,391KM,260KM
